Height 1,Reach 1,Age 1,Knockdowns PM 1,Gets Knocked Down PM 1,Sig Strikes Landed PM 1,Sig Strikes Attempted PM 1,Sig Strikes Absorbed PM 1,Strikes Landed PM 1,Strikes Attempted PM 1,Strikes Absorbed PM 1,Strike Accuracy 1,Takedowns PM 1,Takedown Attempts PM 1,Gets Taken Down PM 1,Submission Attempts PM 1,Clinch Strikes PM 1,Clinch Strikes Taken PM 1,Grounds Strikes PM 1,Ground Strikes Taken PM 1,Height 2,Reach 2,Age 2,Knockdowns PM 2,Gets Knocked Down PM 2,Sig Strikes Landed PM 2,Sig Strikes Attempted PM 2,Sig Strikes Absorbed PM 2,Strikes Landed PM 2,Strikes Attempted PM 2,Strikes Absorbed PM 2,Strike Accuracy 2,Takedowns PM 2,Takedown Attempts PM 2,Gets Taken Down PM 2,Submission Attempts PM 2,Clinch Strikes PM 2,Clinch Strikes Taken PM 2,Grounds Strikes PM 2,Ground Strikes Taken PM 2,Win,Loss,Draw
185.4,73.0,29.0,0.0685,0.0,5.5511,10.3484,3.084,6.5106,11.4106,3.4266,0.5706,0.1028,0.1713,0.0343,0.0685,0.2056,0.1371,0.8909,0.0343,182.9,76.0,27.0,0.0214,0.0214,4.9982,15.4646,2.4564,7.1342,17.921,3.2253,0.3981,0.0427,0.1922,0.0854,0.0427,0.6622,0.3418,0.4486,0.1282,0.0,1.0,0.0
182.9,74.0,41.0,0.0512,0.0,2.8157,7.0648,2.099,3.8908,8.1911,2.3549,0.475,0.2048,0.256,0.0512,0.0,0.0512,0.1536,0.9727,0.6143,195.6,79.0,25.0,0.0781,0.0,2.6936,6.5582,1.7176,4.6064,8.7833,3.4353,0.5244,0.1171,0.2733,0.0781,0.1952,0.4684,0.3123,1.2101,0.5075,0.0,1.0,0.0
195.6,79.0,25.0,0.0781,0.0,2.6936,6.5582,1.7176,4.6064,8.7833,3.4353,0.5244,0.1171,0.2733,0.0781,0.1952,0.4684,0.3123,1.2101,0.5075,182.9,74.0,41.0,0.0512,0.0,2.8157,7.0648,2.099,3.8908,8.1911,2.3549,0.475,0.2048,0.256,0.0512,0.0,0.0512,0.1536,0.9727,0.6143,1.0,0.0,0.0
170.2,70.0,27.0,0.0,0.0302,2.8399,7.6435,3.1118,7.7039,13.2326,4.864,0.5822,0.2115,0.4834,0.1208,0.0604,0.3021,0.3323,0.3625,0.1208,175.3,70.0,28.0,0.0409,0.0205,5.8117,16.2483,4.809,6.2824,16.7804,5.3206,0.3744,0.0205,0.0614,0.1637,0.0205,0.2865,0.2865,0.1842,0.1637,1.0,0.0,0.0
175.3,70.0,28.0,0.0409,0.0205,5.8117,16.2483,4.809,6.2824,16.7804,5.3206,0.3744,0.0205,0.0614,0.1637,0.0205,0.2865,0.2865,0.1842,0.1637,170.2,70.0,27.0,0.0,0.0302,2.8399,7.6435,3.1118,7.7039,13.2326,4.864,0.5822,0.2115,0.4834,0.1208,0.0604,0.3021,0.3323,0.3625,0.1208,0.0,1.0,0.0
175.3,71.0,29.0,0.0823,0.0274,3.7877,8.3166,1.9488,4.3916,8.9204,2.9918,0.4923,0.0,0.0274,0.1921,0.0,0.3843,0.0549,0.4392,0.0,172.7,71.0,28.0,0.029,0.0,1.7101,6.058,1.3623,2.9855,7.4203,2.8696,0.4023,0.058,0.2609,0.2319,0.2319,0.2899,0.3188,0.1449,0.1449,0.0,1.0,0.0
172.7,71.0,28.0,0.029,0.0,1.7101,6.058,1.3623,2.9855,7.4203,2.8696,0.4023,0.058,0.2609,0.2319,0.2319,0.2899,0.3188,0.1449,0.1449,175.3,71.0,29.0,0.0823,0.0274,3.7877,8.3166,1.9488,4.3916,8.9204,2.9918,0.4923,0.0,0.0274,0.1921,0.0,0.3843,0.0549,0.4392,0.0,1.0,0.0,0.0
177.8,70.0,31.0,0.0,0.0395,1.5592,2.9013,1.3224,5.8026,7.5987,2.8618,0.7636,0.3158,0.6118,0.0395,0.0,0.2368,0.2961,1.0461,0.4145,177.8,74.0,31.0,0.0,0.0,0.7733,3.8211,1.5011,3.4572,7.1873,2.7748,0.481,0.4094,0.5914,0.091,0.2729,0.0455,0.2274,0.3639,0.3184,1.0,0.0,0.0
177.8,74.0,31.0,0.0,0.0,0.7733,3.8211,1.5011,3.4572,7.1873,2.7748,0.481,0.4094,0.5914,0.091,0.2729,0.0455,0.2274,0.3639,0.3184,177.8,70.0,31.0,0.0,0.0395,1.5592,2.9013,1.3224,5.8026,7.5987,2.8618,0.7636,0.3158,0.6118,0.0395,0.0,0.2368,0.2961,1.0461,0.4145,0.0,1.0,0.0
177.8,70.0,30.0,0.0,0.0667,2.8254,7.2747,2.3804,5.0056,9.8331,4.6496,0.509,0.1557,0.356,0.1112,0.2002,0.2225,0.3115,0.267,0.2002,172.7,68.0,27.0,0.0,0.0333,2.9,6.55,2.1667,5.4833,9.35,3.75,0.5865,0.3167,0.8833,0.15,0.1,0.6,0.6833,0.5,0.0667,1.0,0.0,0.0
