Date,Fighter 1,Fighter 2,Result,Split Dec?
03/10/2015,Daniel Cormier,Alexander Gustafsson,1,1
03/10/2015,Ryan Bader,Rashad Evans,1,0
03/10/2015,Shawn Jordan,Ruslan Magomedov,2,0
03/10/2015,Joseph Benavidez,Ali Bagautinov,1,0
03/10/2015,Jessica Eye,Julianna Pena,2,0
03/10/2015,Yair Rodriguez,Dan Hooker,1,0
03/10/2015,Alan Jouban,Albert Tumenov,2,0
03/10/2015,Adriano Martins,Islam Makhachev,1,0
03/10/2015,Rose Namajunas,Angela Hill,1,0
03/10/2015,Francisco Trevino,Sage Northcutt,2,0
03/10/2015,Chris Cariaso,Sergio Pettis,2,0
03/10/2015,Derrick Lewis,Viktor Pesta,1,0
24/10/2015,Paddy Holohan,Louis Smolka,2,0
24/10/2015,Norman Parke,Reza Madadi,1,0
24/10/2015,Nicolas Dalby,Darren Till,3,1
24/10/2015,Neil Seery,Jon Delos Reyes,1,0
24/10/2015,Stevie Ray,Mickael Lebout,1,0
24/10/2015,Aisling Daly,Ericka Almeida,1,0
24/10/2015,Scott Askham,Krzysztof Jotko,2,1
24/10/2015,Cathal Pendred,Tom Breese,2,0
24/10/2015,Darren Elkins,Robert Whiteford,1,0
24/10/2015,Bubba Bush,Garreth McLellan,2,0
07/11/2015,Vitor Belfort,Dan Henderson,1,0
07/11/2015,Glover Teixeira,Patrick Cummins,1,0
07/11/2015,Thomas Almeida,Anthony Birchak,1,0
07/11/2015,Alex Oliveira,Piotr Hallmann,1,0
07/11/2015,Gilbert Burns,Rashid Magomedov,2,0
07/11/2015,Fabio Maldonado,Corey Anderson,2,0
07/11/2015,Gleison Tibau,Abel Trujillo,2,0
07/11/2015,Yan Cabral,Johnny Case,2,0
07/11/2015,Clay Guida,Thiago Tavares,2,0
07/11/2015,Edimilson Souza,Chas Skelly,2,0
07/11/2015,Viscardi Andrade,Gasan Umalatov,1,0
07/11/2015,Pedro Munhoz,Jimmie Rivera,2,1
07/11/2015,Bruno Korea,Matheus Nicolau,2,0
14/11/2015,Ronda Rousey,Holly Holm,2,0
14/11/2015,Joanna Jedrzejczyk,Valerie Letourneau,1,0
14/11/2015,Mark Hunt,Antonio Silva,1,0
14/11/2015,Uriah Hall,Robert Whittaker,2,0
14/11/2015,Stefan Struve,Jared Rosholt,2,0
14/11/2015,Jake Matthews,Akbarh Arreola,1,0
14/11/2015,Kyle Noke,Peter Sobotta,1,0
14/11/2015,Anthony Perosh,Gian Villante,2,0
14/11/2015,Richie Vaculik,Danny Martinez,2,0
14/11/2015,Daniel Kelly,Steve Montgomery,1,0
14/11/2015,Richard Walsh,Steve Kennedy,1,0
14/11/2015,James Moontasri,Anton Zafir,1,0
14/11/2015,Ben Nguyen,Ryan Benoit,1,0
21/11/2015,Neil Magny,Kelvin Gastelum,1,1
21/11/2015,Ricardo Lamas,Diego Sanchez,1,0
21/11/2015,Jussier Formiga,Henry Cejudo,2,1
21/11/2015,Erick Montano,Enrique Marin,1,1
21/11/2015,Horacio Gutierrez,Enrique Barzola,2,0
21/11/2015,Efrain Escudero,Leandro Silva,2,0
21/11/2015,Erik Perez,Taylor Lapilus,1,0
21/11/2015,Hector Urbina,Bartosz Fabinski,2,0
21/11/2015,Alejandro Perez,Scott Jorgensen,1,0
21/11/2015,Gabriel Benitez,Andre Fili,2,0
21/11/2015,Vernon Ramos Ho,Alvaro Herrera Mendoza,2,0
21/11/2015,Cesar Arzamendia,Marco Polo Reyes,2,0
21/11/2015,Valmir Lazaro,Michel Prazeres,2,1
28/11/2015,Benson Henderson,Jorge Masvidal,1,1
28/11/2015,Dong Hyun Kim,Dominic Waters,1,0
28/11/2015,Yoshihiro Akiyama,Alberto Mina,2,1
28/11/2015,Dooho Choi,Sam Sicilia,1,0
28/11/2015,Dongi Yang,Jake Collier,1,0
28/11/2015,Yui Chul Nam,Mike de la Torre,2,1
28/11/2015,Tae Hyun Bang,Leo Kuntz,1,1
28/11/2015,Seo Hee Ham,Cortney Casey,1,0
28/11/2015,Yao Zhikui,Fredy Serrano,2,0
28/11/2015,Guangyou Ning,Marco Beltran,2,1
28/11/2015,Dominique Steele,Dong Hyun Ma,1,0
10/12/2015,Rose Namajunas,Paige VanZant,1,0
10/12/2015,Jim Miller,Michael Chiesa,2,0
10/12/2015,Sage Northcutt,Cody Pfister,1,0
10/12/2015,Elias Theodorou,Thiago Santos,2,0
10/12/2015,Tim Means,John Howard,1,0
10/12/2015,Omari Akhmedov,Sergio Moraes,2,0
10/12/2015,Antonio Carlos Junior,Kevin Casey,2,1
10/12/2015,Aljamain Sterling,Johnny Eduardo,1,0
10/12/2015,Santiago Ponzinibbio,Andreas Stahl,1,0
10/12/2015,Danny Roberts,Nathan Coy,1,0
10/12/2015,Zubaira Tukhugov,Phillipe Nover,1,1
10/12/2015,Kailin Curran,Emily Kagan,1,0
11/12/2015,Frankie Edgar,Chad Mendes,1,0
11/12/2015,Artem Lobov,Ryan Hall,2,0
11/12/2015,Edson Barboza,Tony Ferguson,2,0
11/12/2015,Joe Lauzon,Evan Dunham,2,0
11/12/2015,Tatsuya Kawajiri,Jason Knight,1,0
11/12/2015,Julian Erosa,Marcin Wrzosek,1,1
11/12/2015,Gabriel Gonzaga,Konstantin Erokhin,1,0
11/12/2015,Ryan LaFlare,Mike Pierce,1,0
11/12/2015,Joby Sanchez,Geane Herrera,2,0
11/12/2015,Chris Gruetzemacher,Abner Lloveras,1,0
12/12/2015,Jose Aldo,Conor McGregor,2,0
12/12/2015,Chris Weidman,Luke Rockhold,2,0
12/12/2015,Jacare Souza,Yoel Romero,2,1
12/12/2015,Demian Maia,Gunnar Nelson,1,0
12/12/2015,Max Holloway,Jeremy Stephens,1,0
12/12/2015,Urijah Faber,Frankie Saenz,1,0
12/12/2015,Tecia Pennington,Jocelyn Jones-Lybarger,1,0
12/12/2015,Warlley Alves,Colby Covington,1,0
12/12/2015,Leonardo Santos,Kevin Lee,1,0
12/12/2015,Joe Proctor,Magomed Mustafaev,2,0
12/12/2015,John Makdessi,Yancy Medeiros,2,1
12/12/2015,Court McGee,Marcio Alexandre Junior,1,0
19/12/2015,Rafael Dos Anjos,Donald Cerrone,1,0
19/12/2015,Junior Dos Santos,Alistair Overeem,2,0
19/12/2015,Michael Johnson,Nate Diaz,2,0
19/12/2015,Randa Markos,Karolina Kowalkiewicz,2,0
19/12/2015,Charles Oliveira,Myles Jury,1,0
19/12/2015,CB Dollaway,Nate Marquardt,2,0
19/12/2015,Sarah Kaufman,Valentina Shevchenko,2,1
19/12/2015,Josh Samman,Tamdan McCrory,2,0
19/12/2015,Nik Lentz,Danny Castillo,1,1
19/12/2015,Cole Miller,Jim Alers,1,1
19/12/2015,Kamaru Usman,Leon Edwards,1,0
19/12/2015,Hayder Hassan,Vicente Luque,2,0
19/12/2015,Francis Ngannou,Luis Henrique,1,0
02/1/2016,Robbie Lawler,Carlos Condit,1,1
02/1/2016,Stipe Miocic,Andrei Arlovski,1,0
02/1/2016,Lorenz Larkin,Albert Tumenov,2,1
02/1/2016,Diego Brandao,Brian Ortega,2,0
02/1/2016,Abel Trujillo,Tony Sims,1,0
02/1/2016,Michael McDonald,Masanori Kanehara,1,0
02/1/2016,Kyle Noke,Alex Morono,2,1
02/1/2016,Justine Kish,Nina Nunes,1,0
02/1/2016,Scott Holtzman,Drew Dober,2,0
02/1/2016,Dustin Poirier,Joe Duffy,1,0
02/1/2016,Joe Soto,Michinori Tanaka,2,1
02/1/2016,Sheldon Westcott,Edgar Garcia,1,0
17/1/2016,TJ Dillashaw,Dominick Cruz,2,1
17/1/2016,Anthony Pettis,Eddie Alvarez,2,1
17/1/2016,Travis Browne,Matt Mitrione,1,0
17/1/2016,Ross Pearson,Francisco Trinaldo,2,0
17/1/2016,Patrick Cote,Ben Saunders,1,0
17/1/2016,Tim Boetsch,Ed Herman,2,0
17/1/2016,Chris Wade,Mehdi Baghdad,1,0
17/1/2016,Maximo Blanco,Luke Sanders,2,0
17/1/2016,Paul Felder,Daron Cruickshank,1,0
17/1/2016,Ilir Latifi,Sean O'Connell,1,0
17/1/2016,Charles Rosa,Kyle Bochniak,1,0
17/1/2016,Rob Font,Joey Gomez,1,0
17/1/2016,Francimar Barroso,Elvis Mutapcic,1,0
30/1/2016,Anthony Johnson,Ryan Bader,1,0
30/1/2016,Josh Barnett,Ben Rothwell,2,0
30/1/2016,Iuri Alcantara,Jimmie Rivera,2,0
30/1/2016,Sage Northcutt,Bryan Barberena,2,0
30/1/2016,Tarec Saffiedine,Jake Ellenberger,1,0
30/1/2016,Olivier Aubin-Mercier,Diego Ferreira,2,0
30/1/2016,Rafael Natal,Kevin Casey,1,0
30/1/2016,Dustin Ortiz,Wilson Reis,2,0
30/1/2016,George Sullivan,Alexander Yakovlev,2,0
30/1/2016,Alex Caceres,Masio Fullen,1,0
30/1/2016,Matt Dwyer,Randy Brown,2,0
30/1/2016,Damon Jackson,Levan Makashvili,3,1
30/1/2016,Anthony Rocco Martin,Felipe Olivieri,1,0
06/2/2016,Johny Hendricks,Stephen Thompson,2,0
06/2/2016,Roy Nelson,Jared Rosholt,1,0
06/2/2016,Ovince Saint Preux,Rafael Cavalcante,1,0
06/2/2016,Joseph Benavidez,Zach Makovsky,1,0
06/2/2016,Misha Cirkunov,Alex Nicholson,1,0
06/2/2016,Mike Pyle,Sean Spencer,1,0
06/2/2016,Joshua Burkman,KJ Noons,1,0
06/2/2016,Derrick Lewis,Damian Grabowski,1,0
06/2/2016,Ray Borg,Justin Scoggins,2,0
06/2/2016,Noad Lahat,Diego Rivas,2,0
06/2/2016,Mickey Gall,Mike Jackson,1,0
06/2/2016,Artem Lobov,Alex White,2,0
21/2/2016,Donald Cerrone,Alex Oliveira,1,0
21/2/2016,Derek Brunson,Roan Carneiro,1,0
21/2/2016,Cody Garbrandt,Augusto Mendes,1,0
21/2/2016,Dennis Bermudez,Tatsuya Kawajiri,1,0
21/2/2016,Chris Camozzi,Joe Riggs,1,0
21/2/2016,James Krause,Shane Campbell,1,0
21/2/2016,Alex Garcia,Sean Strickland,2,0
21/2/2016,Daniel Sarafian,Oluwale Bamgbose,2,0
21/2/2016,Anthony Smith,Leonardo Guimaraes,1,0
21/2/2016,Jonavin Webb,Nathan Coy,2,0
21/2/2016,Marion Reneau,Ashlee Evans-Smith,2,1
21/2/2016,Lauren Murphy,Kelly Faszholz,1,0
21/2/2016,Anthony Hamilton,Shamil Abdurakhimov,2,0
27/2/2016,Anderson Silva,Michael Bisping,2,0
27/2/2016,Gegard Mousasi,Thales Leites,1,0
27/2/2016,Tom Breese,Keita Nakamura,1,0
27/2/2016,Francisco Rivera,Brad Pickett,2,1
27/2/2016,Mike Wilkinson,Makwan Amirkhani,2,0
27/2/2016,Davey Grant,Marlon Vera,1,0
27/2/2016,Scott Askham,Chris Dempsey,1,0
27/2/2016,Arnold Allen,Yaotzin Meza,1,0
27/2/2016,Brad Scott,Krzysztof Jotko,2,0
27/2/2016,Norman Parke,Rustam Khabilov,2,0
27/2/2016,Daniel Omielanczuk,Jarjis Danho,1,0
27/2/2016,Teemu Packalen,Thibault Gouti,1,0
27/2/2016,David Teymur,Martin Svensson,1,0
05/3/2016,Conor McGregor,Nate Diaz,2,0
05/3/2016,Holly Holm,Miesha Tate,2,0
05/3/2016,Gian Villante,Ilir Latifi,2,0
05/3/2016,Corey Anderson,Tom Lawlor,1,0
05/3/2016,Amanda Nunes,Valentina Shevchenko,1,0
05/3/2016,Brandon Thatch,Siyar Bahadurzada,2,0
05/3/2016,Erick Silva,Nordine Taleb,2,0
05/3/2016,Vitor Miranda,Marcelo Guimaraes,1,0
05/3/2016,Darren Elkins,Chas Skelly,1,0
05/3/2016,Diego Sanchez,Jim Miller,1,0
05/3/2016,Jason Saggo,Justin Salas,1,0
05/3/2016,Julian Erosa,Teruto Ishihara,2,0
19/3/2016,Mark Hunt,Frank Mir,1,0
19/3/2016,Hector Lombard,Neil Magny,2,0
19/3/2016,Jake Matthews,Johnny Case,1,0
19/3/2016,Daniel Kelly,Antonio Carlos Junior,1,0
19/3/2016,James Te Huna,Steve Bosse,2,0
19/3/2016,Bec Rawlings,Seo Hee Ham,1,0
19/3/2016,Brendan O'Reilly,Alan Jouban,2,0
19/3/2016,Dan Hooker,Mark Eddiva,1,0
19/3/2016,Leslie Smith,Rin Nakai,1,0
19/3/2016,Richard Walsh,Viscardi Andrade,2,0
19/3/2016,Ross Pearson,Chad Laprise,1,1
19/3/2016,Alan Patrick,Damien Brown,1,0
10/4/2016,Ben Rothwell,Junior Dos Santos,2,0
10/4/2016,Derrick Lewis,Gabriel Gonzaga,1,0
10/4/2016,Francis Ngannou,Curtis Blaydes,1,0
10/4/2016,Timothy Johnson,Marcin Tybura,1,0
10/4/2016,Igor Pokrajac,Jan Blachowicz,2,0
10/4/2016,Maryna Moroz,Cristina Stanciu,1,0
10/4/2016,Nicolas Dalby,Zak Cummings,2,0
10/4/2016,Ian Entwistle,Alejandro Perez,2,0
10/4/2016,Mairbek Taisumov,Damir Hadzovic,1,0
10/4/2016,Filip Pejic,Damian Stasiak,2,0
10/4/2016,Robert Whiteford,Lucas Martins,2,1
10/4/2016,Jared Cannonier,Cyril Asker,1,0
10/4/2016,Alessio Di Chirico,Bojan Velickovic,2,0
16/4/2016,Glover Teixeira,Rashad Evans,1,0
16/4/2016,Rose Namajunas,Tecia Pennington,1,0
16/4/2016,Khabib Nurmagomedov,Darrell Horcher,1,0
16/4/2016,Cub Swanson,Hacran Dias,1,0
16/4/2016,Beneil Dariush,Michael Chiesa,2,0
16/4/2016,Bethe Correia,Raquel Pennington,2,1
16/4/2016,Court McGee,Santiago Ponzinibbio,2,0
16/4/2016,Randy Brown,Michael Graves,2,0
16/4/2016,John Dodson,Manvel Gamburyan,1,0
16/4/2016,Oluwale Bamgbose,Cezar Ferreira,2,0
16/4/2016,Elizeu Zaleski dos Santos,Omari Akhmedov,1,0
23/4/2016,Jon Jones,Ovince Saint Preux,1,0
23/4/2016,Demetrious Johnson,Henry Cejudo,1,0
23/4/2016,Anthony Pettis,Edson Barboza,2,0
23/4/2016,Robert Whittaker,Rafael Natal,1,0
23/4/2016,Yair Rodriguez,Andre Fili,1,0
23/4/2016,Sergio Pettis,Chris Kelades,1,0
23/4/2016,Danny Roberts,Dominique Steele,1,0
23/4/2016,Carla Esparza,Juliana Lima,1,0
23/4/2016,Glaico Franca Moreira,James Vick,2,0
23/4/2016,Walt Harris,Cody East,1,0
23/4/2016,Marcos Rogerio de Lima,Clint Hester,1,0
23/4/2016,Efrain Escudero,Kevin Lee,2,0
08/5/2016,Alistair Overeem,Andrei Arlovski,1,0
08/5/2016,Antonio Silva,Stefan Struve,2,0
08/5/2016,Albert Tumenov,Gunnar Nelson,2,0
08/5/2016,Germaine de Randamie,Anna Elmose,1,0
08/5/2016,Nikita Krylov,Francimar Barroso,1,0
08/5/2016,Karolina Kowalkiewicz,Heather Clark,1,0
08/5/2016,Rustam Khabilov,Chris Wade,1,0
08/5/2016,Magnus Cedenblad,Garreth McLellan,1,0
08/5/2016,Jon Tuck,Josh Emmett,2,1
08/5/2016,Yan Cabral,Reza Madadi,2,0
08/5/2016,Kyoji Horiguchi,Neil Seery,1,0
08/5/2016,Leon Edwards,Dominic Waters,1,0
08/5/2016,Yuta Sasaki,Willie Gates,1,0
14/5/2016,Fabricio Werdum,Stipe Miocic,2,0
14/5/2016,Jacare Souza,Vitor Belfort,1,0
14/5/2016,Cristiane Justino,Leslie Smith,1,0
14/5/2016,Mauricio Rua,Corey Anderson,1,1
14/5/2016,Warlley Alves,Bryan Barberena,2,0
14/5/2016,Demian Maia,Matt Brown,1,0
14/5/2016,Thiago Santos,Nate Marquardt,1,0
14/5/2016,Francisco Trinaldo,Yancy Medeiros,1,0
14/5/2016,John Lineker,Rob Font,1,0
14/5/2016,Rogerio Nogueira,Patrick Cummins,1,0
14/5/2016,Sergio Moraes,Luan Chagas,3,1
14/5/2016,Renato Moicano,Zubaira Tukhugov,1,1
29/5/2016,Thomas Almeida,Cody Garbrandt,2,0
29/5/2016,Renan Barao,Jeremy Stephens,2,0
29/5/2016,Tarec Saffiedine,Rick Story,2,0
29/5/2016,Chris Camozzi,Vitor Miranda,1,0
29/5/2016,Jorge Masvidal,Lorenz Larkin,2,1
29/5/2016,Joshua Burkman,Paul Felder,2,0
29/5/2016,Sara McMann,Jessica Eye,1,0
29/5/2016,Abel Trujillo,Jordan Rinaldi,1,0
29/5/2016,Jake Collier,Alberto Uda,1,0
29/5/2016,Erik Koch,Shane Campbell,1,0
29/5/2016,Aljamain Sterling,Bryan Caraway,2,1
29/5/2016,Chris de la Rocha,Adam Milstead,2,0
04/6/2016,Luke Rockhold,Michael Bisping,2,0
04/6/2016,Dominick Cruz,Urijah Faber,1,0
04/6/2016,Max Holloway,Ricardo Lamas,1,0
04/6/2016,Dan Henderson,Hector Lombard,1,0
04/6/2016,Dustin Poirier,King Green,1,0
04/6/2016,Brian Ortega,Clay Guida,1,0
04/6/2016,Beneil Dariush,James Vick,1,0
04/6/2016,Jessica Penne,Jessica Andrade,2,0
04/6/2016,Cole Miller,Alex Caceres,2,0
04/6/2016,Sean Strickland,Tom Breese,1,1
04/6/2016,Jonathan Wilson,Henrique da Silva,2,0
04/6/2016,Kevin Casey,Elvis Mutapcic,3,1
04/6/2016,Marco Polo Reyes,Dong Hyun Ma,1,0
18/6/2016,Rory MacDonald,Stephen Thompson,2,0
18/6/2016,Donald Cerrone,Patrick Cote,1,0
18/6/2016,Steve Bosse,Sean O'Connell,1,0
18/6/2016,Olivier Aubin-Mercier,Thibault Gouti,1,0
18/6/2016,Valerie Letourneau,Joanne Wood,2,0
18/6/2016,Jason Saggo,Leandro Silva,1,1
18/6/2016,Misha Cirkunov,Ion Cutelaba,1,0
18/6/2016,Tamdan McCrory,Krzysztof Jotko,2,0
18/6/2016,Chris Beal,Joe Soto,2,0
18/6/2016,Elias Theodorou,Sam Alvey,1,0
18/6/2016,Randa Markos,Jocelyn Jones-Lybarger,1,0
18/6/2016,Colby Covington,Jonathan Meunier,1,0
18/6/2016,Ali Bagautinov,Geane Herrera,1,0
07/7/2016,Rafael Dos Anjos,Eddie Alvarez,2,0
07/7/2016,Roy Nelson,Derrick Lewis,2,1
07/7/2016,Alan Jouban,Belal Muhammad,1,0
07/7/2016,Joe Duffy,Mitch Clarke,1,0
07/7/2016,Mike Pyle,Alberto Mina,2,0
07/7/2016,John Makdessi,Mehdi Baghdad,1,1
07/7/2016,Anthony Birchak,Dileno Lopes,1,1
07/7/2016,Russell Doane,Pedro Munhoz,2,0
07/7/2016,Felipe Arantes,Jerrod Sanders,1,0
07/7/2016,Gilbert Burns,Lukasz Sajewski,1,0
07/7/2016,Marco Beltran,Reginaldo Vieira,1,0
07/7/2016,Vicente Luque,Alvaro Herrera Mendoza,1,0
08/7/2016,Joanna Jedrzejczyk,Claudia Gadelha,1,0
08/7/2016,Andrew Sanchez,Khalil Rountree Jr.,1,0
08/7/2016,Tatiana Suarez,Amanda Cooper,1,0
08/7/2016,Ross Pearson,Will Brooks,2,0
08/7/2016,Dooho Choi,Thiago Tavares,1,0
08/7/2016,Joaquim Silva,Andrew Holbrook,1,0
08/7/2016,Gray Maynard,Fernando Bruno,1,0
08/7/2016,John Moraga,Matheus Nicolau,2,1
08/7/2016,Cory Hendricks,Josh Stansbury,2,0
08/7/2016,Cezar Ferreira,Anthony Smith,1,0
08/7/2016,Jake Matthews,Kevin Lee,2,0
08/7/2016,Li Jingliang,Anton Zafir,1,0
09/7/2016,Miesha Tate,Amanda Nunes,2,0
09/7/2016,Brock Lesnar,Mark Hunt,2,1
09/7/2016,Daniel Cormier,Anderson Silva,1,0
09/7/2016,Jose Aldo,Frankie Edgar,1,0
09/7/2016,Cain Velasquez,Travis Browne,1,0
09/7/2016,Cat Zingano,Julianna Pena,2,0
09/7/2016,Johny Hendricks,Kelvin Gastelum,2,0
09/7/2016,TJ Dillashaw,Raphael Assuncao,1,0
09/7/2016,Sage Northcutt,Enrique Marin,1,0
09/7/2016,Diego Sanchez,Joe Lauzon,2,0
09/7/2016,Gegard Mousasi,Thiago Santos,1,0
09/7/2016,Jim Miller,Takanori Gomi,1,0
13/7/2016,Michael McDonald,John Lineker,2,0
13/7/2016,Tony Ferguson,Lando Vannata,1,0
13/7/2016,Tim Boetsch,Josh Samman,1,0
13/7/2016,Aleksei Oleinik,Daniel Omielanczuk,2,0
13/7/2016,Kyle Noke,Keita Nakamura,2,0
13/7/2016,Louis Smolka,Ben Nguyen,1,0
13/7/2016,Lauren Murphy,Katlyn Cerminara,2,0
13/7/2016,Eric Spicely,Sam Alvey,2,0
13/7/2016,Cortney Casey,Cristina Stanciu,1,0
13/7/2016,Scott Holtzman,Cody Pfister,1,0
13/7/2016,Rani Yahya,Matthew Lopez,1,0
13/7/2016,Devin Clark,Alex Nicholson,2,0
23/7/2016,Holly Holm,Valentina Shevchenko,2,0
23/7/2016,Edson Barboza,Gilbert Melendez,1,0
23/7/2016,Francis Ngannou,Bojan Mihajlovic,1,0
23/7/2016,Felice Herrig,Kailin Curran,1,0
23/7/2016,Frankie Saenz,Eddie Wineland,2,0
23/7/2016,Darren Elkins,Godofredo Pepey,1,0
23/7/2016,Kamaru Usman,Alexander Yakovlev,1,0
23/7/2016,Michel Prazeres,JC Cottrell,1,0
23/7/2016,Alex Oliveira,James Moontasri,1,0
23/7/2016,Jim Alers,Jason Knight,2,1
23/7/2016,Luis Henrique,Dmitrii Smoliakov,1,0
30/7/2016,Robbie Lawler,Tyron Woodley,2,0
30/7/2016,Rose Namajunas,Karolina Kowalkiewicz,2,1
30/7/2016,Matt Brown,Jake Ellenberger,2,0
30/7/2016,Francisco Rivera,Erik Perez,2,0
30/7/2016,Ryan Benoit,Fredy Serrano,1,1
30/7/2016,Nikita Krylov,Ed Herman,1,0
30/7/2016,Ross Pearson,Jorge Masvidal,2,0
30/7/2016,Anthony Hamilton,Damian Grabowski,1,0
30/7/2016,Wilson Reis,Hector Sandoval,1,0
30/7/2016,Michael Graves,Bojan Velickovic,3,1
30/7/2016,Cesar Arzamendia,Damien Brown,2,0
06/8/2016,Yair Rodriguez,Alex Caceres,1,1
06/8/2016,Dennis Bermudez,Rony Jason,1,0
06/8/2016,Thales Leites,Chris Camozzi,1,0
06/8/2016,Santiago Ponzinibbio,Zak Cummings,1,0
06/8/2016,Trevor Smith,Joseph Gigliotti,1,0
06/8/2016,Maryna Moroz,Danielle Taylor,1,1
06/8/2016,Court McGee,Dominique Steele,1,0
06/8/2016,Viktor Pesta,Marcin Tybura,2,0
06/8/2016,David Teymur,Jason Novelli,1,0
06/8/2016,Teruto Ishihara,Horacio Gutierrez,1,0
06/8/2016,Cub Swanson,Tatsuya Kawajiri,1,0
06/8/2016,Chase Sherman,Justin Ledet,2,0
20/8/2016,Nate Diaz,Conor McGregor,2,0
20/8/2016,Anthony Johnson,Glover Teixeira,1,0
20/8/2016,Rick Story,Donald Cerrone,2,0
20/8/2016,Hyun Gyu Lim,Mike Perry,2,0
20/8/2016,Tim Means,Sabah Homasi,1,0
20/8/2016,Cody Garbrandt,Takeya Mizugaki,1,0
20/8/2016,Raquel Pennington,Elizabeth Phillips,1,0
20/8/2016,Artem Lobov,Chris Avila,1,0
20/8/2016,Randa Markos,Cortney Casey,2,0
20/8/2016,Neil Magny,Lorenz Larkin,2,0
20/8/2016,Colby Covington,Max Griffin,1,0
20/8/2016,Alberto Uda,Marvin Vettori,2,0
27/8/2016,Demian Maia,Carlos Condit,1,0
27/8/2016,Anthony Pettis,Charles Oliveira,1,0
27/8/2016,Paige VanZant,Bec Rawlings,1,0
27/8/2016,Joe Lauzon,Jim Miller,2,1
27/8/2016,Sam Alvey,Kevin Casey,1,0
27/8/2016,Enrique Barzola,Kyle Bochniak,2,1
27/8/2016,Garreth McLellan,Alessio Di Chirico,2,1
27/8/2016,Shane Campbell,Felipe Silva,2,0
27/8/2016,Chad Laprise,Thibault Gouti,1,0
27/8/2016,Jeremy Kennedy,Alex Ricci,1,0
03/9/2016,Andrei Arlovski,Josh Barnett,2,0
03/9/2016,Alexander Gustafsson,Jan Blachowicz,1,0
03/9/2016,Ryan Bader,Ilir Latifi,1,0
03/9/2016,Nick Hein,Tae Hyun Bang,1,0
03/9/2016,Jessin Ayari,Jim Wallhead,1,1
03/9/2016,Peter Sobotta,Nicolas Dalby,1,0
03/9/2016,Ashlee Evans-Smith,Veronica Hardy,1,0
03/9/2016,Taylor Lapilus,Leandro Issa,1,0
03/9/2016,Jarjis Danho,Christian Colombo,3,1
03/9/2016,Scott Askham,Jack Hermansson,2,0
03/9/2016,Rustam Khabilov,Leandro Silva,1,0
10/9/2016,Stipe Miocic,Alistair Overeem,1,0
10/9/2016,Fabricio Werdum,Travis Browne,1,0
10/9/2016,CM Punk,Mickey Gall,2,0
10/9/2016,Urijah Faber,Jimmie Rivera,2,0
10/9/2016,Jessica Andrade,Joanne Wood,1,0
10/9/2016,Jessica Eye,Bethe Correia,2,1
10/9/2016,Brad Tavares,Caio Magalhaes,1,1
10/9/2016,Nik Lentz,Michael McBride,1,0
10/9/2016,Drew Dober,Jason Gonzalez,1,0
10/9/2016,Yancy Medeiros,Sean Spencer,1,0
17/9/2016,Dustin Poirier,Michael Johnson,2,0
17/9/2016,Uriah Hall,Derek Brunson,2,0
17/9/2016,Evan Dunham,Ricky Glenn,1,0
17/9/2016,Roan Carneiro,Kenny Robertson,1,1
17/9/2016,Chris Wade,Islam Makhachev,2,0
17/9/2016,Chas Skelly,Maximo Blanco,1,0
17/9/2016,Gabriel Benitez,Sam Sicilia,1,0
17/9/2016,Augusto Montano,Belal Muhammad,2,0
17/9/2016,Antonio Carlos Junior,Leonardo Guimaraes,1,0
17/9/2016,Jose Quinonez,Joey Gomez,1,0
17/9/2016,Erick Montano,Randy Brown,2,0
17/9/2016,Alejandro Perez,Albert Morales,3,1
24/9/2016,Cristiane Justino,Lina Lansberg,1,0
24/9/2016,Renan Barao,Phillipe Nover,1,0
24/9/2016,Roy Nelson,Antonio Silva,1,0
24/9/2016,Francisco Trinaldo,Paul Felder,1,0
24/9/2016,Thiago Santos,Eric Spicely,2,0
24/9/2016,Godofredo Pepey,Mike de la Torre,1,0
24/9/2016,Gilbert Burns,Michel Prazeres,2,0
24/9/2016,Rani Yahya,Michinori Tanaka,1,0
24/9/2016,Jussier Formiga,Dustin Ortiz,1,0
24/9/2016,Erick Silva,Luan Chagas,1,0
24/9/2016,Alan Patrick,Stevie Ray,1,0
24/9/2016,Vicente Luque,Hector Urbina,1,0
24/9/2016,Glaico Franca Moreira,Gregor Gillespie,2,0
01/10/2016,John Lineker,John Dodson,1,1
01/10/2016,Will Brooks,Alex Oliveira,2,0
01/10/2016,Joshua Burkman,Zak Ottow,2,1
01/10/2016,Louis Smolka,Brandon Moreno,2,0
01/10/2016,Henrique da Silva,Joachim Christensen,1,0
01/10/2016,Hacran Dias,Andre Fili,2,0
01/10/2016,Shamil Abdurakhimov,Walt Harris,1,1
01/10/2016,Keita Nakamura,Elizeu Zaleski dos Santos,2,0
01/10/2016,Nate Marquardt,Tamdan McCrory,1,0
01/10/2016,Jonathan Wilson,Ion Cutelaba,2,0
01/10/2016,Cody East,Curtis Blaydes,2,0
01/10/2016,Kelly Faszholz,Ketlen Vieira,2,1
08/10/2016,Michael Bisping,Dan Henderson,1,0
08/10/2016,Vitor Belfort,Gegard Mousasi,2,0
08/10/2016,Ovince Saint Preux,Jimi Manuwa,2,0
08/10/2016,Stefan Struve,Daniel Omielanczuk,1,0
08/10/2016,Mirsad Bektic,Russell Doane,1,0
08/10/2016,Brad Pickett,Iuri Alcantara,2,0
