,Height1,Reach1,Age 1,Knockdowns PM 1,Gets Knocked Down PM 1,Sig Strikes Landed PM 1,Sig Strikes Attempted PM 1,Sig Strikes Absorbed PM 1,Strikes Landed PM 1,Strikes Attempted PM 1,Strikes Absorbed PM 1,Strike Accuracy 1,Takedowns PM 1,Takedown Attempts PM 1,Gets Taken Down PM 1,Submission Attempts PM 1,Clinch Strikes PM 1,Clinch Strikes Taken PM 1,Grounds Strikes PM 1,Ground Strikes Taken PM 1,Height 2,Reach 2,Age 2,Knockdowns PM 2,Gets Knocked Down PM 2,Sig Strikes Landed PM 2,Sig Strikes Attempted PM 2,Sig Strikes Absorbed PM 2,Strikes Landed PM 2,Strikes Attempted PM 2,Strikes Absorbed PM 2,Strike Accuracy 2,Takedowns PM 2,Takedown Attempts PM 2,Gets Taken Down PM 2,Submission Attempts PM 2,Clinch Strikes PM 2,Clinch Strikes Taken PM 2,Grounds Strikes PM 2,Ground Strikes Taken PM 2,Win,Loss
589,180.3,70.0,31.0,0.0462,0.0231,8.5021,15.5487,10.2349,8.6176,15.6873,10.5352,0.5493,0.0,0.0231,0.0462,0.0,1.5479,1.1552,0.0462,0.0924,185.4,73.0,37.0,0.0408,0.0,4.831,11.5945,4.5997,4.9399,11.7169,4.8991,0.4216,0.0408,0.1633,0.0136,0.0136,0.4491,0.626,0.2858,0.0136,1.0,0.0
590,188.0,76.0,40.0,0.0,0.059,2.1836,5.2918,5.1934,3.0885,6.2951,6.3344,0.4906,0.059,0.3934,0.1574,0.0787,0.2557,0.8852,0.4721,1.0426,190.5,77.0,28.0,0.0297,0.0,4.901,8.9406,2.0792,8.6733,13.0396,3.4158,0.6651,0.0891,0.2079,0.2673,0.1188,1.396,0.5347,0.7426,0.3267,1.0,0.0
591,190.5,77.0,28.0,0.0297,0.0,4.901,8.9406,2.0792,8.6733,13.0396,3.4158,0.6651,0.0891,0.2079,0.2673,0.1188,1.396,0.5347,0.7426,0.3267,188.0,76.0,40.0,0.0,0.059,2.1836,5.2918,5.1934,3.0885,6.2951,6.3344,0.4906,0.059,0.3934,0.1574,0.0787,0.2557,0.8852,0.4721,1.0426,0.0,1.0
592,182.9,79.0,36.0,0.0608,0.0912,4.1358,8.5758,6.4166,4.3183,8.7582,7.5418,0.4931,0.0,0.0304,0.0608,0.0,0.1216,1.1556,0.2129,0.8211,188.0,79.0,30.0,0.0,0.0,2.03,4.3111,1.9463,3.6833,6.1946,4.8971,0.5946,0.2302,0.586,0.0628,0.0837,0.2093,0.1465,0.6697,1.1092,1.0,0.0
593,188.0,79.0,30.0,0.0,0.0,2.03,4.3111,1.9463,3.6833,6.1946,4.8971,0.5946,0.2302,0.586,0.0628,0.0837,0.2093,0.1465,0.6697,1.1092,182.9,79.0,36.0,0.0608,0.0912,4.1358,8.5758,6.4166,4.3183,8.7582,7.5418,0.4931,0.0,0.0304,0.0608,0.0,0.1216,1.1556,0.2129,0.8211,0.0,1.0
594,177.8,70.0,31.0,0.0,0.0,5.8333,10.6944,1.7929,8.548,13.6869,2.5505,0.6245,0.2146,0.5556,0.0,0.0379,0.0631,0.1515,3.6995,0.0884,175.3,72.0,31.0,0.0141,0.0,7.5141,15.4096,5.6497,8.2627,16.2006,6.3418,0.51,0.0847,0.2684,0.0282,0.0565,0.7345,0.5367,0.2825,0.2401,1.0,0.0
595,175.3,72.0,31.0,0.0141,0.0,7.5141,15.4096,5.6497,8.2627,16.2006,6.3418,0.51,0.0847,0.2684,0.0282,0.0565,0.7345,0.5367,0.2825,0.2401,177.8,70.0,31.0,0.0,0.0,5.8333,10.6944,1.7929,8.548,13.6869,2.5505,0.6245,0.2146,0.5556,0.0,0.0379,0.0631,0.1515,3.6995,0.0884,0.0,1.0
596,180.3,75.0,34.0,0.0329,0.0165,4.0362,8.5997,6.3097,4.2834,8.8633,9.4069,0.4833,0.0,0.0329,0.1318,0.0,0.2471,0.2636,0.0494,2.4876,180.3,70.0,36.0,0.0419,0.0,3.9344,8.1828,3.2438,4.646,8.9152,3.7461,0.5211,0.0,0.0209,0.0837,0.0,0.5232,0.5232,0.8162,0.1046,0.0,1.0
597,180.3,70.0,36.0,0.0419,0.0,3.9344,8.1828,3.2438,4.646,8.9152,3.7461,0.5211,0.0,0.0209,0.0837,0.0,0.5232,0.5232,0.8162,0.1046,180.3,75.0,34.0,0.0329,0.0165,4.0362,8.5997,6.3097,4.2834,8.8633,9.4069,0.4833,0.0,0.0329,0.1318,0.0,0.2471,0.2636,0.0494,2.4876,1.0,0.0
598,177.8,70.0,28.0,0.0197,0.0,1.5592,2.3882,0.7895,4.2039,5.8224,2.8816,0.722,0.2763,0.375,0.0197,0.0592,0.1579,0.2368,0.8684,0.0789,167.6,70.0,33.0,0.0,0.0,3.4656,8.0156,2.7853,4.1035,8.7597,3.0617,0.4684,0.2126,0.404,0.0,0.0638,0.2977,0.1276,0.5103,0.1063,1.0,0.0
